candidate_name,party_name_expanded,secured_votes,percentage_of_votes,state_name,constituency_name,party_name
RAO INDERJIT SINGH,Bharatiya Janata Party,808336,50.48,Haryana,GURGAON,BJP
RAJ BABBAR,Indian National Congress,733257,45.79,Haryana,GURGAON,INC
RAHUL YADAV FAZILPURIA,Jannayak Janta Party,13278,0.83,Haryana,GURGAON,JJP
VIJAY KHATANA,Bahujan Samaj Party,8946,0.56,Haryana,GURGAON,BSP
SORAB KHAN,Indian National Lok Dal,4917,0.31,Haryana,GURGAON,INLD
AJAY KUMAR,Independent,3528,0.22,Haryana,GURGAON,IND
ASHOK JANGRA,Independent,3005,0.19,Haryana,GURGAON,IND
AZAD SINGH,Independent,2745,0.17,Haryana,GURGAON,IND
AKSHAT GAIT,Independent,2550,0.16,Haryana,GURGAON,IND
LAL CHAND YADAV,Bharatheeya Jawan Kisan Party,2222,0.14,Haryana,GURGAON,BJKP
SAMAY SINGH,Independent,1887,0.12,Haryana,GURGAON,IND
DHARMENDER THAKRAN,Swayam Shashan Party,1408,0.09,Haryana,GURGAON,SSP
VIJAY YADAV,Jan Sewak Kranti Party,1120,0.07,Haryana,GURGAON,JSKP
ISHWAR SINGH SUTHANI,Peoples Party of India (Democratic),1114,0.07,Haryana,GURGAON,PPI (D)
COMRADE SARWAN KUMAR GUPTA,Socialist Unity Centre Of India (COMMUNIST),1074,0.07,Haryana,GURGAON,SUCI (C)
VANDNA GULIYA,Right to Recall Party,1000,0.06,Haryana,GURGAON,RRP
SAMPOORN ANAND,Rashtriya Lokswaraj Party,915,0.06,Haryana,GURGAON,RLP
KUSHESHWAR BHAGAT,Independent,794,0.05,Haryana,GURGAON,IND
SINGH RAM,Independent,791,0.05,Haryana,GURGAON,IND
ANWAR,Social Democratic Party Of India,578,0.04,Haryana,GURGAON,SDPI
FAUJI JAI KAWAR TYAGI (DIXIT),Independent,474,0.03,Haryana,GURGAON,IND
AKASH VYAS,Bhartiya Shakti Chetna Party,439,0.03,Haryana,GURGAON,BSCP
VISHNU,Independent,437,0.03,Haryana,GURGAON,IND
NOTA,None of the Above,6417,0.4,Haryana,GURGAON,NA
JAI PARKASH (J P) S/O HARIKESH,Indian National Congress,570424,48.58,Haryana,HISAR,INC
RANJIT SINGH,Bharatiya Janata Party,507043,43.19,Haryana,HISAR,BJP
DESH RAJ,Bahujan Samaj Party,26015,2.22,Haryana,HISAR,BSP
SUNAINA CHAUTALA,Indian National Lok Dal,22303,1.9,Haryana,HISAR,INLD
NAINA SINGH CHAUTALA,Jannayak Janta Party,22032,1.88,Haryana,HISAR,JJP
PARDEEP DAHIYA,Independent,3608,0.31,Haryana,HISAR,IND
JAI PRAKASH (J.P.) S/O UMA DUTT,Independent,3273,0.28,Haryana,HISAR,IND
JILE SINGH,Independent,3196,0.27,Haryana,HISAR,IND
POONAM MOR,Independent,1241,0.11,Haryana,HISAR,IND
ISHWAR JHAJHRIA,Independent,1122,0.1,Haryana,HISAR,IND
ATMA RAM BISHNOI,Independent,1097,0.09,Haryana,HISAR,IND
KULBIR,Independent,1041,0.09,Haryana,HISAR,IND
CHANDER MOHAN,Independent,998,0.09,Haryana,HISAR,IND
ADVOCATE PARDEEP SIHMAR,Peoples Party of India (Democratic),876,0.07,Haryana,HISAR,PPI (D)
AJIT SINGH,Independent,796,0.07,Haryana,HISAR,IND
DEV GIRI,Rashtriya Lokswaraj Party,726,0.06,Haryana,HISAR,RLP
DINESH KUMAR,Independent,703,0.06,Haryana,HISAR,IND
MASTER VIJENDER JITPURA,Socialist Unity Centre Of India (COMMUNIST),657,0.06,Haryana,HISAR,SUCI (C)
RAJENDER KUMAR,Independent,486,0.04,Haryana,HISAR,IND
NEERAJ KUMAR CHHATTAR,Bharatiya Asha Party,423,0.04,Haryana,HISAR,BAP
MANDEEP,Independent,405,0.03,Haryana,HISAR,IND
JAGAT SINGH,Vikas India Party,382,0.03,Haryana,HISAR,VIP
PARJAPATI RAKESH DHUWARIA,Independent,374,0.03,Haryana,HISAR,IND
RANDHIR SINGH,Independent,353,0.03,Haryana,HISAR,IND
SURENDER KUMAR,Independent,326,0.03,Haryana,HISAR,IND
SURENDER,Independent,308,0.03,Haryana,HISAR,IND
VIJAY SINGH,Independent,272,0.02,Haryana,HISAR,IND
YOGESH BOORA,Independent,269,0.02,Haryana,HISAR,IND
NOTA,None of the Above,3366,0.29,Haryana,HISAR,NA
MANOHAR LAL,Bharatiya Janata Party,739285,54.93,Haryana,KARNAL,BJP
DIVYANSHU BUDHIRAJA,Indian National Congress,506708,37.65,Haryana,KARNAL,INC
INDER SINGH,Bahujan Samaj Party,32508,2.42,Haryana,KARNAL,BSP
MARATHA VIRENDER VERMA,Nationalist Congress Party  Sharadchandra Pawar,29151,2.17,Haryana,KARNAL,NCPSP
DEVENDER KADIAN,Jannayak Janta Party,11467,0.85,Haryana,KARNAL,JJP
MANOJ BANSAL,Independent,4004,0.3,Haryana,KARNAL,IND
GULSHAN KASHYAP,Independent,2994,0.22,Haryana,KARNAL,IND
ASHOK KATARIA,Samst Samaj Party,2904,0.22,Haryana,KARNAL,SSP
HARJEET SINGH VIRK,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),1866,0.14,Haryana,KARNAL,SAD (A)(SSM)
SONIA,Independent,1851,0.14,Haryana,KARNAL,IND
MANISH,Independent,1587,0.12,Haryana,KARNAL,IND
LEENA KOHLI,Independent,1292,0.1,Haryana,KARNAL,IND
NITIN GEHLOT,Peoples Party of India (Democratic),1253,0.09,Haryana,KARNAL,PPI (D)
BALWAN SINGH,Independent,1188,0.09,Haryana,KARNAL,IND
VINEET CHOUDHARY,Bharatiya Asha Party,1020,0.08,Haryana,KARNAL,BAP
ROOP SINGH,Rashtriya Garib Dal,769,0.06,Haryana,KARNAL,RGD
SAWAMI AGNIVESH,Independent,752,0.06,Haryana,KARNAL,IND
AZAD SINGH PUNIA,Independent,705,0.05,Haryana,KARNAL,IND
ASHOK KUMAR,Independent,633,0.05,Haryana,KARNAL,IND
NOTA,None of the Above,3955,0.29,Haryana,KARNAL,NA
NAVEEN JINDAL,Bharatiya Janata Party,542175,44.96,Haryana,KURUKSHETRA,BJP
DR SUSHIL GUPTA,Aam Aadmi Party,513154,42.55,Haryana,KURUKSHETRA,AAP
ABHAY SINGH CHAUTALA,Indian National Lok Dal,78708,6.53,Haryana,KURUKSHETRA,INLD
DEEPAK MEHRA,Bahujan Samaj Party,20944,1.74,Haryana,KURUKSHETRA,BSP
JAI KUMAR SAINI HAMIDPUR,Independent,8093,0.67,Haryana,KURUKSHETRA,IND
PALA RAM SAINI,Jannayak Janta Party,6182,0.51,Haryana,KURUKSHETRA,JJP
SATBIR KASHYAP,Rashtriya Janshakti Party(Eklavya),3263,0.27,Haryana,KURUKSHETRA,RJP
KHAZAN SINGH SEHGAL,Shiromani Akali Dal (Amritsar)(Simranjit Singh Mann),2859,0.24,Haryana,KURUKSHETRA,SAD (A)(SSM)
MAHAVIR SINGH,Ekam Sanatan Bharat Dal,2783,0.23,Haryana,KURUKSHETRA,ESBD
INDERJEET KAMBOJ,Peoples Party of India (Democratic),2113,0.18,Haryana,KURUKSHETRA,PPI (D)
PANDIT ANIL UPADHYAY,Independent,2056,0.17,Haryana,KURUKSHETRA,IND
ADV ASHWINI SHARMA HRITTWAL,Independent,2029,0.17,Haryana,KURUKSHETRA,IND
COMRADE OM PARKASH SHASTRI,Socialist Unity Centre Of India (COMMUNIST),1812,0.15,Haryana,KURUKSHETRA,SUCI (C)
SURENDER SINGH,Independent,1599,0.13,Haryana,KURUKSHETRA,IND
AMIT MALIK,Independent,1506,0.12,Haryana,KURUKSHETRA,IND
PATASHO DEVI EX-SARPANCH,Independent,1379,0.11,Haryana,KURUKSHETRA,IND
DR MAHESH CHAND GAUR,Independent,1340,0.11,Haryana,KURUKSHETRA,IND
JAI PARKASH SHARMA,Independent,1154,0.1,Haryana,KURUKSHETRA,IND
VARUN GUPTA,Independent,1134,0.09,Haryana,KURUKSHETRA,IND
SATNAM BHAZIGAR,Loktantrik Lok Rajyam Party,1066,0.09,Haryana,KURUKSHETRA,LLRP
NARESH KUMAR,Samata Party,1032,0.09,Haryana,KURUKSHETRA,SP
SATISH DHULL,Bharatiya Asha Party,997,0.08,Haryana,KURUKSHETRA,BAP
ADVOCATE PARDEEP SAINI,Rashtriya Garib Dal,960,0.08,Haryana,KURUKSHETRA,RGD
SEWA SINGH,Independent,718,0.06,Haryana,KURUKSHETRA,IND
ER VISHAL KUMAR,Independent,715,0.06,Haryana,KURUKSHETRA,IND
COMRADE RAMESH KHATKAR,Independent,717,0.06,Haryana,KURUKSHETRA,IND
OM PARKASH INDAL,Global Republican Party,678,0.06,Haryana,KURUKSHETRA,GRP
PHOOL SINGH,Independent,626,0.05,Haryana,KURUKSHETRA,IND
SUNNY KASHYAP TEORA,Independent,576,0.05,Haryana,KURUKSHETRA,IND
RAMDIYA,Independent,556,0.05,Haryana,KURUKSHETRA,IND
MANGAT RAM,Independent,509,0.04,Haryana,KURUKSHETRA,IND
NOTA,None of the Above,2439,0.2,Haryana,KURUKSHETRA,NA
DEEPENDER SINGH HOODA,Indian National Congress,783578,62.76,Haryana,ROHTAK,INC
DR. ARVIND KUMAR SHARMA,Bharatiya Janata Party,438280,35.11,Haryana,ROHTAK,BJP
RAVINDER,Jannayak Janta Party,6250,0.5,Haryana,ROHTAK,JJP
RAKESH SINGH,Rashtrawadi Janlok Party (Satya),2714,0.22,Haryana,ROHTAK,RJP (S)
BISHAMBAR KUMAR,Independent,2394,0.19,Haryana,ROHTAK,IND
KALAWATI,Independent,2150,0.17,Haryana,ROHTAK,IND
PARVEEN KUMAR,Independent,1928,0.15,Haryana,ROHTAK,IND
UDEVIR,Independent,1532,0.12,Haryana,ROHTAK,IND
VINOD KUMAR,Peoples Party of India (Democratic),809,0.06,Haryana,ROHTAK,PPI (D)
ASHOK KUMAR,Independent,629,0.05,Haryana,ROHTAK,IND
VISHESH BAMEL,Bharatiya Asha Party,618,0.05,Haryana,ROHTAK,BAP
JAIKARAN MANDAUTHI,Socialist Unity Centre Of India (COMMUNIST),607,0.05,Haryana,ROHTAK,SUCI (C)
JAGBIR SINGH,Bharatheeya Jawan Kisan Party,593,0.05,Haryana,ROHTAK,BJKP
SATISH KUMAR,Independent,524,0.04,Haryana,ROHTAK,IND
SURENDER,Aam Aadmi Parivartan Party,470,0.04,Haryana,ROHTAK,AAPP
MANISHA,Independent,431,0.03,Haryana,ROHTAK,IND
ARVIND KUMAR SHARMA,Independent,367,0.03,Haryana,ROHTAK,IND
SATISH KUMAR,Ekam Sanatan Bharat Dal,363,0.03,Haryana,ROHTAK,ESBD
ARVIND,Independent,330,0.03,Haryana,ROHTAK,IND
ADVOCATE ADITYA DHANKHAR,Super Power India Party,287,0.02,Haryana,ROHTAK,SPIP
MASTER RANDHIR SINGH,Independent,269,0.02,Haryana,ROHTAK,IND
MANJEET,Independent,269,0.02,Haryana,ROHTAK,IND
SANJAY,Independent,212,0.02,Haryana,ROHTAK,IND
YOGESH SHARMA,Independent,190,0.02,Haryana,ROHTAK,IND
VINAY,Independent,159,0.01,Haryana,ROHTAK,IND
LALIT KUMAR,Independent,131,0.01,Haryana,ROHTAK,IND
NOTA,None of the Above,2362,0.19,Haryana,ROHTAK,NA
SELJA,Indian National Congress,733823,54.17,Haryana,SIRSA,INC
ASHOK TANWAR,Bharatiya Janata Party,465326,34.35,Haryana,SIRSA,BJP
SANDEEP LOT VALMIKI,Indian National Lok Dal,92453,6.82,Haryana,SIRSA,INLD
RAMESH KHATAK,Jannayak Janta Party,20080,1.48,Haryana,SIRSA,JJP
LILU RAM ASAKHERA,Bahujan Samaj Party,10151,0.75,Haryana,SIRSA,BSP
RAHUL CHOUHAN,Independent,6160,0.45,Haryana,SIRSA,IND
KARNAIL SINGH ODHAN,Independent,4166,0.31,Haryana,SIRSA,IND
SATPAL LADWAL,Independent,3413,0.25,Haryana,SIRSA,IND
MISTRI DAULAT RAM ROLAN,Peoples Party of India (Democratic),3061,0.23,Haryana,SIRSA,PPI (D)
JOGINDER RAM,Independent,2142,0.16,Haryana,SIRSA,IND
RAN SINGH PANWAR,Independent,1550,0.11,Haryana,SIRSA,IND
RAJINDER KUMAR,Bharatiya Asha Party,1242,0.09,Haryana,SIRSA,BAP
BAGDAWAT RAM,Independent,1224,0.09,Haryana,SIRSA,IND
JASVIR SINGH,Independent,1136,0.08,Haryana,SIRSA,IND
NAVEEN KUMAR COMMANDO,Independent,1116,0.08,Haryana,SIRSA,IND
SUKHDEV SINGH SANDHU,Independent,999,0.07,Haryana,SIRSA,IND
DR. RAJESH MEHANDIA,Bahujan Republican Socialist Party,931,0.07,Haryana,SIRSA,BRSP
DHARAMPAL VARTIA,Loktantrik Lok Rajyam Party,919,0.07,Haryana,SIRSA,LLRP
SURENDER KUMAR PHULAN,Independent,617,0.05,Haryana,SIRSA,IND
NOTA,None of the Above,4123,0.3,Haryana,SIRSA,NA
SATPAL BRAHAMCHARI,Indian National Congress,548682,48.82,Haryana,SONIPAT,INC
MOHAN LAL BADOLI,Bharatiya Janata Party,526866,46.88,Haryana,SONIPAT,BJP
UMESH KUMAR,Bahujan Samaj Party,12822,1.14,Haryana,SONIPAT,BSP
ANOOP SINGH,Indian National Lok Dal,11523,1.03,Haryana,SONIPAT,INLD
BHUPENDER SINGH MALIK,Jannayak Janta Party,7820,0.7,Haryana,SONIPAT,JJP
SANT DHARAMVEER CHOTIVALA,Independent,2154,0.19,Haryana,SONIPAT,IND
RAMESH,Independent,1651,0.15,Haryana,SONIPAT,IND
NARESH KASHYAP,Aam Aadmi Parivartan Party,1658,0.15,Haryana,SONIPAT,AAPP
SATPAL,Independent,1217,0.11,Haryana,SONIPAT,IND
GAUBHAGAT SUMIT LATHER,Independent,882,0.08,Haryana,SONIPAT,IND
DR. KAMLESH KUMAR SAINI,Independent,866,0.08,Haryana,SONIPAT,IND
ROHTASH,Independent,777,0.07,Haryana,SONIPAT,IND
BALBIR SINGH,Socialist Unity Centre Of India (COMMUNIST),768,0.07,Haryana,SONIPAT,SUCI (C)
ASHWANI,Independent,695,0.06,Haryana,SONIPAT,IND
SANJAY DASS,Independent,572,0.05,Haryana,SONIPAT,IND
JAGBEER,Independent,524,0.05,Haryana,SONIPAT,IND
SUNIL KUMAR,Rashtriya Garib Dal,467,0.04,Haryana,SONIPAT,RGD
RADHEY SHYAM,Peoples Party of India (Democratic),441,0.04,Haryana,SONIPAT,PPI (D)
RAKESH,Samata Party,410,0.04,Haryana,SONIPAT,SP
NIRMAL SINGH,Independent,318,0.03,Haryana,SONIPAT,IND
SURENDER SINGH,Independent,296,0.03,Haryana,SONIPAT,IND
RAKESH DHARIWAL,Rashtriya Jatigat Aarakshan Virodhi Party,215,0.02,Haryana,SONIPAT,RJAVP
NOTA,None of the Above,2320,0.21,Haryana,SONIPAT,NA
ANURAG SINGH THAKUR,Bharatiya Janata Party,607068,57.97,Himachal Pradesh,HAMIRPUR,BJP
SATPAL RAIZADA,Indian National Congress,424711,40.55,Himachal Pradesh,HAMIRPUR,INC
HEM RAJ,Bahujan Samaj Party,2758,0.26,Himachal Pradesh,HAMIRPUR,BSP
JAGDEEP KUMAR,Rashtriya Devbhumi Party,1764,0.17,Himachal Pradesh,HAMIRPUR,RDP
SURENDER KUMAR GAUTAM,Independent,1410,0.13,Himachal Pradesh,HAMIRPUR,IND
SUBEDAR MAJOR KULWANT SINGH PATIAL,Bharatheeya Jawan Kisan Party,1239,0.12,Himachal Pradesh,HAMIRPUR,BJKP
NAND LAL,Independent,1019,0.1,Himachal Pradesh,HAMIRPUR,IND
SUMIT RANA,Akhil Bhartiya Parivar Party,675,0.06,Himachal Pradesh,HAMIRPUR,ABPP
RAMESH CHAND SARTHI,Independent,560,0.05,Himachal Pradesh,HAMIRPUR,IND
ARUN ANKESH SYAL,Ekam Sanatan Bharat Dal,433,0.04,Himachal Pradesh,HAMIRPUR,ESBD
GARIB DASS KATOCH,Independent,246,0.02,Himachal Pradesh,HAMIRPUR,IND
GOPI CHAND ATTARI,Independent,202,0.02,Himachal Pradesh,HAMIRPUR,IND
NOTA,None of the Above,5178,0.49,Himachal Pradesh,HAMIRPUR,NA
DR RAJEEV BHARDWAJ,Bharatiya Janata Party,632793,61.03,Himachal Pradesh,KANGRA,BJP
ANAND SHARMA,Indian National Congress,380898,36.74,Himachal Pradesh,KANGRA,INC
REKHA CHAUDHARY,Bahujan Samaj Party,7753,0.75,Himachal Pradesh,KANGRA,BSP
ADVOCATE SANJAY SHARMA,Independent,2319,0.22,Himachal Pradesh,KANGRA,IND
DR KEHAR SINGH,Independent,2178,0.21,Himachal Pradesh,KANGRA,IND
JEEVAN KUMAR,Akhil Bhartiya Parivar Party,1476,0.14,Himachal Pradesh,KANGRA,ABPP
NARAIN SINGH DOGRA,Himachal Janta Party,1171,0.11,Himachal Pradesh,KANGRA,HJP
BHUVNESH KUMAR,Rashtriya Devbhumi Party,756,0.07,Himachal Pradesh,KANGRA,RDP
DEV RAJ BHARDWAJ,Rashtriya Samaj Dal (R),607,0.06,Himachal Pradesh,KANGRA,RSD (R)
ACHAL SINGH,Independent,545,0.05,Himachal Pradesh,KANGRA,IND
NOTA,None of the Above,6372,0.61,Himachal Pradesh,KANGRA,NA
KANGNA RANAUT,Bharatiya Janata Party,537022,52.87,Himachal Pradesh,MANDI,BJP
VIKRAMADITYA SINGH,Indian National Congress,462267,45.51,Himachal Pradesh,MANDI,INC
DR. PRAKASH CHAND BHARDWAJ,Bahujan Samaj Party,4393,0.43,Himachal Pradesh,MANDI,BSP
NARENDER KUMAR,Rashtriya Devbhumi Party,2447,0.24,Himachal Pradesh,MANDI,RDP
RAKHEE GUPTA,Independent,1051,0.1,Himachal Pradesh,MANDI,IND
SUBHASH MOHAN SNEHI,Independent,974,0.1,Himachal Pradesh,MANDI,IND
VINAY KUMAR,Akhil Bhartiya Parivar Party,690,0.07,Himachal Pradesh,MANDI,ABPP
MAHESH SAINI,Himachal Janta Party,654,0.06,Himachal Pradesh,MANDI,HJP
DINESH KUMAR BHATI,Independent,381,0.04,Himachal Pradesh,MANDI,IND
ASHUTOSH MAHANT,Independent,286,0.03,Himachal Pradesh,MANDI,IND
NOTA,None of the Above,5645,0.56,Himachal Pradesh,MANDI,NA
Suresh Kumar Kashyap,Bharatiya Janata Party,519748,53.58,Himachal Pradesh,SHIMLA,BJP
Vinod Sultanpuri,Indian National Congress,428297,44.16,Himachal Pradesh,SHIMLA,INC
Anil Kumar Manget,Bahujan Samaj Party,6500,0.67,Himachal Pradesh,SHIMLA,BSP
Suresh Kumar,Rashtriya Devbhumi Party,4814,0.5,Himachal Pradesh,SHIMLA,RDP
Madan Lal,Akhil Bhartiya Parivar Party,4676,0.48,Himachal Pradesh,SHIMLA,ABPP
NOTA,None of the Above,5930,0.61,Himachal Pradesh,SHIMLA,NA
MIAN ALTAF AHMAD,Jammu & Kashmir National Conference,521836,50.85,Jammu and Kashmir,ANANTNAG-RAJOURI,J&KNC
MEHBOOBA MUFTI,Jammu & Kashmir Peoples Democratic Party,240042,23.39,Jammu and Kashmir,ANANTNAG-RAJOURI,J&KPDP
ZAFAR IQBAL KHAN MANHAS,Jammu and Kashmir Apni Party,142195,13.86,Jammu and Kashmir,ANANTNAG-RAJOURI,JKAP
MOHAMAD SALEEM PARAY,Democratic Progressive Azad Party,25561,2.49,Jammu and Kashmir,ANANTNAG-RAJOURI,DPAP
ABDUL RAOUF MALIK,Independent,10582,1.03,Jammu and Kashmir,ANANTNAG-RAJOURI,IND
SUSHIL KUMAR SHARMA,Independent,9228,0.9,Jammu and Kashmir,ANANTNAG-RAJOURI,IND
ABDUL ROUF NAIK,Independent,9149,0.89,Jammu and Kashmir,ANANTNAG-RAJOURI,IND
SAJAD AHMAD DAR,Independent,8004,0.78,Jammu and Kashmir,ANANTNAG-RAJOURI,IND
IMRAN SHEIKH,Independent,7485,0.73,Jammu and Kashmir,ANANTNAG-RAJOURI,IND
IMTIYAZ AHMAD,National Loktantrik Party,7013,0.68,Jammu and Kashmir,ANANTNAG-RAJOURI,NLP
ARSHEED AHMED LONE,Jammu & Kashmir National Panthers Party (Bhim),6389,0.62,Jammu and Kashmir,ANANTNAG-RAJOURI,J&KNPP (B)
BALDEV KUMAR,Independent,6189,0.6,Jammu and Kashmir,ANANTNAG-RAJOURI,IND
ALI MOHAMMAD WANI,Independent,5255,0.51,Jammu and Kashmir,ANANTNAG-RAJOURI,IND
SHEIKH MUZAFAR AHMED,Jammu and Kashmir Nationalist People's Front,4814,0.47,Jammu and Kashmir,ANANTNAG-RAJOURI,JKNPF
DILIP KUMAR PANDITA,Independent,3722,0.36,Jammu and Kashmir,ANANTNAG-RAJOURI,IND
RAVINDER SINGH,Independent,2962,0.29,Jammu and Kashmir,ANANTNAG-RAJOURI,IND
GULSHAN AKHTER,Independent,2807,0.27,Jammu and Kashmir,ANANTNAG-RAJOURI,IND
MOHAMMAD MAQBOOL TELI,Garib Democratic Party,2748,0.27,Jammu and Kashmir,ANANTNAG-RAJOURI,GDP
SUDARSHAN SINGH,National Awami United Party,2382,0.23,Jammu and Kashmir,ANANTNAG-RAJOURI,NAUP
JAVAID AHMED,All India Forward Bloc,1562,0.15,Jammu and Kashmir,ANANTNAG-RAJOURI,AIFB
NOTA,None of the Above,6223,0.61,Jammu and Kashmir,ANANTNAG-RAJOURI,NA
ABDUL RASHID SHEIKH,Independent,472481,45.7,Jammu and Kashmir,BARAMULLA,IND
OMAR ABDULLAH,Jammu & Kashmir National Conference,268339,25.95,Jammu and Kashmir,BARAMULLA,J&KNC
SAJAD GANI LONE,Jammu & Kashmir People Conference,173239,16.76,Jammu and Kashmir,BARAMULLA,J&KPC
MIR MOHAMMAD FAYAZ,Jammu & Kashmir Peoples Democratic Party,27488,2.66,Jammu and Kashmir,BARAMULLA,J&KPDP
SURAIYA NISSAR,Independent,21618,2.09,Jammu and Kashmir,BARAMULLA,IND
FIRDOUS AHMAD BHAT,Independent,15722,1.52,Jammu and Kashmir,BARAMULLA,IND
SHAFEEQA BEGUM,Independent,6214,0.6,Jammu and Kashmir,BARAMULLA,IND
PEERZADA MUDASIR RASHID SHAH,Jammu & Kashmir National Panthers Party (Bhim),5566,0.54,Jammu and Kashmir,BARAMULLA,J&KNPP (B)
KHURSHEED AHMAD SHAH,Rashtriya Jankranti Party,4268,0.41,Jammu and Kashmir,BARAMULLA,RJP
MOHAMMAD SULTAN GANAIE,Independent,4063,0.39,Jammu and Kashmir,BARAMULLA,IND
SHADIB HANIEF KHAN,Independent,3670,0.35,Jammu and Kashmir,BARAMULLA,IND
MUDASIR AHMAD TANTARY,Independent,3218,0.31,Jammu and Kashmir,BARAMULLA,IND
NAZIR AHMAD SOFI,Independent,2983,0.29,Jammu and Kashmir,BARAMULLA,IND
SHABIR AHMAD DAR,Independent,2700,0.26,Jammu and Kashmir,BARAMULLA,IND
HILAL AHMAD WAGAY,Independent,2689,0.26,Jammu and Kashmir,BARAMULLA,IND
MEHRAJ UDDIN NAJAR,Independent,2570,0.25,Jammu and Kashmir,BARAMULLA,IND
SYED AMEER SUHAIL,Independent,2417,0.23,Jammu and Kashmir,BARAMULLA,IND
FAROOQ AHMAD BHAT,National Youth Party,2343,0.23,Jammu and Kashmir,BARAMULLA,NYP
ARUN KUMAR RAINA,Independent,2241,0.22,Jammu and Kashmir,BARAMULLA,IND
MUNIR AHMAD KHAN,Jammu and Kashmir Nationalist People's Front,2019,0.2,Jammu and Kashmir,BARAMULLA,JKNPF
MUZAFFAR HUSSAIN DAR,Independent,1671,0.16,Jammu and Kashmir,BARAMULLA,IND
MUSHTAQ AHMAD MIR,National Loktantrik Party,1397,0.14,Jammu and Kashmir,BARAMULLA,NLP
NOTA,None of the Above,4984,0.48,Jammu and Kashmir,BARAMULLA,NA
JUGAL KISHORE,Bharatiya Janata Party,687588,52.8,Jammu and Kashmir,JAMMU,BJP
RAMAN BHALLA,Indian National Congress,552090,42.4,Jammu and Kashmir,JAMMU,INC
JAGDISH RAJ,Bahujan Samaj Party,10300,0.79,Jammu and Kashmir,JAMMU,BSP
SATISH POONCHI,Independent,5959,0.46,Jammu and Kashmir,JAMMU,IND
ANKUR SHARMA,Ekam Sanatan Bharat Dal,4278,0.33,Jammu and Kashmir,JAMMU,ESBD
NARESH KUMAR CHIB,Jammu & Kashmir National Panthers Party (Bhim),4243,0.33,Jammu and Kashmir,JAMMU,J&KNPP (B)
PRINCIPAL C D SHARMA,Independent,3257,0.25,Jammu and Kashmir,JAMMU,IND
KARANJIT,Independent,3207,0.25,Jammu and Kashmir,JAMMU,IND
SHABER AHMED,Independent,3177,0.24,Jammu and Kashmir,JAMMU,IND
SHIKHA BANDRAL,National Awami United Party,2937,0.23,Jammu and Kashmir,JAMMU,NAUP
DR PRINCE RAINA,Independent,2866,0.22,Jammu and Kashmir,JAMMU,IND
RAJ KUMAR,Independent,2618,0.2,Jammu and Kashmir,JAMMU,IND
SURINDER SINGH,Independent,2226,0.17,Jammu and Kashmir,JAMMU,IND
ATUL RAINA,Independent,2068,0.16,Jammu and Kashmir,JAMMU,IND
RATTAN LAL,Jammu & Kashmir People Conference,1651,0.13,Jammu and Kashmir,JAMMU,J&KPC
SWAMI DIVYA NAND,Jammu and Kashmir Nationalist People's Front,1620,0.12,Jammu and Kashmir,JAMMU,JKNPF
PERSEEN SINGH,Independent,1589,0.12,Jammu and Kashmir,JAMMU,IND
NARESH KUMAR TALLA,Independent,1459,0.11,Jammu and Kashmir,JAMMU,IND
GANESH CHOUDHARY,Hindustan Shakti Sena,1190,0.09,Jammu and Kashmir,JAMMU,HSS
VICKY KUMAR DOGRA,Independent,1165,0.09,Jammu and Kashmir,JAMMU,IND
BANSI LAL,Independent,1059,0.08,Jammu and Kashmir,JAMMU,IND
QARI ZAHEER ABBAS BHATTI,All India Forward Bloc,984,0.08,Jammu and Kashmir,JAMMU,AIFB
NOTA,None of the Above,4645,0.36,Jammu and Kashmir,JAMMU,NA
AGA SYED RUHULLAH MEHDI,Jammu & Kashmir National Conference,356866,52.85,Jammu and Kashmir,SRINAGAR,J&KNC
WAHEED UR REHMAN PARA,Jammu & Kashmir Peoples Democratic Party,168450,24.95,Jammu and Kashmir,SRINAGAR,J&KPDP
MOHAMMAD ASHRAF MIR,Jammu and Kashmir Apni Party,65954,9.77,Jammu and Kashmir,SRINAGAR,JKAP
AMIR AHMAD BHAT,Democratic Progressive Azad Party,15104,2.24,Jammu and Kashmir,SRINAGAR,DPAP
SHEEBAN ASHAI,Independent,13071,1.94,Jammu and Kashmir,SRINAGAR,IND
SAYIM MUSTAFA,Independent,8880,1.32,Jammu and Kashmir,SRINAGAR,IND
JIBRAN FIRDOUS DAR,Independent,5498,0.81,Jammu and Kashmir,SRINAGAR,IND
JAHANGIR AHMAD SHEIKH,Independent,4422,0.65,Jammu and Kashmir,SRINAGAR,IND
SAJAD AHMAD DAR,Independent,3764,0.56,Jammu and Kashmir,SRINAGAR,IND
HAKIKAT SINGH,Jammu & Kashmir National Panthers Party (Bhim),3778,0.56,Jammu and Kashmir,SRINAGAR,J&KNPP (B)
RUBINA AKHTER,National Loktantrik Party,2876,0.43,Jammu and Kashmir,SRINAGAR,NLP
WASEEM HASSAN SHEIKH,Independent,2855,0.42,Jammu and Kashmir,SRINAGAR,IND
RIYAZ AHMAD BHAT,Independent,2792,0.41,Jammu and Kashmir,SRINAGAR,IND
FAYAZ AHMAD BUTT,Independent,2227,0.33,Jammu and Kashmir,SRINAGAR,IND
SHAHNAZ HUSSAIN SHAH,Independent,2203,0.33,Jammu and Kashmir,SRINAGAR,IND
